Id,gen [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,class
1,0.003483333,0.932833333,3.33E-05,0.0207,0.061916667,0.442633333,0.12415,0.006983333,0.013083333,0.000416667,0.00015,0,0.03135,0.001016667,0.004066667,0.001516667,0.003483333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
2,0.003466667,0.934333333,0,0.020716667,0.063816667,0.444066667,0.124,0.006983333,0.013116667,0.000416667,0.00015,0,0.0315,0.001016667,0.004066667,0.00165,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
3,0.003466667,0.931816667,1.67E-05,0.0207,0.062316667,0.446066667,0.123533333,0.006983333,0.013083333,0.000433333,0.000166667,1.67E-05,0.031516667,0.001,0.004066667,0.00165,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
4,0.003483333,1.02205,1.67E-05,0.1069,0.068516667,0.446583333,0.123133333,0.006983333,0.013,0.000433333,0.000216667,0,0.0315,0.001016667,0.004066667,0.001616667,0.003483333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
5,0.003466667,1.1394,0.000133333,0.236933333,0.063983333,0.446533333,0.12285,0.00685,0.012783333,0.00045,0.000333333,0,0.0315,0.001016667,0.004066667,0.001583333,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
6,0.003433333,1.391866667,0.000283333,0.50325,0.063666667,0.447033333,0.1223,0.006716667,0.012433333,0.000483333,0.000566667,0,0.03145,0.001016667,0.004066667,0.001583333,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
7,0.00345,1.366216667,0.000283333,0.4994,0.063716667,0.443266667,0.12205,0.006733333,0.012416667,0.000516667,0.00055,0,0.03155,0.001033333,0.004116667,0.001533333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
8,0.003416667,1.4319,0.00025,0.477866667,0.178633333,0.444283333,0.1218,0.006783333,0.01255,0.000483333,0.00045,0,0.031733333,0.001033333,0.0042,0.00155,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
9,0.003416667,1.6273,0.000183333,0.44765,0.3657,0.441466667,0.121616667,0.00695,0.012716667,0.000466667,0.0003,1.67E-05,0.031766667,0.001016667,0.0042,0.001566667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
10,0.003416667,1.735383333,1.67E-05,0.17155,0.6825,0.438733333,0.121633333,0.007233333,0.01335,0.000366667,5.00E-05,0,0.031666667,0.001016667,0.0042,0.001616667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
11,0.003416667,1.585083333,5.00E-05,0.0221,0.678733333,0.4402,0.12145,0.007433333,0.013583333,0.00035,0.000116667,3.33E-05,0.031666667,0.001,0.0042,0.001566667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
12,0.003433333,1.510316667,3.33E-05,0.021966667,0.620666667,0.43695,0.12125,0.007316667,0.013533333,0.000333333,0.0001,0,0.03175,0.001,0.0042,0.001566667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
13,0.00345,1.459866667,5.00E-05,0.021883333,0.577466667,0.43995,0.121033333,0.007233333,0.013516667,0.000366667,8.33E-05,1.67E-05,0.031783333,0.001,0.004216667,0.001583333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,1
14,0.003433333,0.840583333,0,0.02095,0.1448,0.444783333,0.035016667,0.007033333,0.013183333,0.00065,0.000183333,1.67E-05,0.031783333,0.001016667,0.004216667,0.001616667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
15,0.003433333,0.7032,1.67E-05,0.020733333,0.061966667,0.443833333,0.004783333,0.006966667,0.013116667,0.000733333,0.000233333,0,0.03175,0.001016667,0.004233333,0.00155,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
16,0.00345,0.571883333,0,0.02065,0.06365,0.307783333,0.004916667,0.00705,0.0131,0.000733333,0.00015,0,0.031733333,0.001,0.004216667,0.001583333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
17,0.00345,0.485733333,1.67E-05,0.020616667,0.063433333,0.22045,0.004983333,0.007033333,0.013116667,0.00075,8.33E-05,0,0.031833333,0.001,0.004233333,0.001616667,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
18,0.003433333,0.523166667,0,0.020633333,0.062116667,0.26005,0.00495,0.007,0.013083333,0.000733333,0.0001,1.67E-05,0.03185,0.001016667,0.00425,0.001716667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0,0
